Size;Process;Time
100000;2;Time: 0.003707 seconds
1000000;2;Time: 0.017022 seconds
10000000;2;Time: 0.167056 seconds
100000000;2;Time: 1.678356 seconds
1000000000;2;Time: 33.458886 seconds
10000000000;2;Time: 23.672464 seconds
100000;4;Time: 0.002030 seconds
1000000;4;Time: 0.017310 seconds
10000000;4;Time: 0.168209 seconds
100000000;4;Time: 1.678322 seconds
1000000000;4;Time: 9.182724 seconds
10000000000;4;Time: 11.834718 seconds
100000;8;Time: 0.000568 seconds
1000000;8;Time: 0.010220 seconds
10000000;8;Time: 0.042982 seconds
100000000;8;Time: 0.837953 seconds
1000000000;8;Time: 4.251224 seconds
10000000000;8;Time: 5.916897 seconds
100000;16;Time: 0.019957 seconds
1000000;16;Time: 0.015480 seconds
10000000;16;Time: 0.092010 seconds
100000000;16;Time: 0.850722 seconds
1000000000;16;Time: 7.645761 seconds
10000000000;16;Time: 11.835147 seconds
100000;32;Time: 0.015946 seconds
1000000;32;Time: 0.047915 seconds
10000000;32;Time: 0.092093 seconds
100000000;32;Time: 0.396011 seconds
1000000000;32;Time: 3.829765 seconds
10000000000;32;Time: 10.871293 seconds
100000;2;Time: 0.001821 seconds
1000000;2;Time: 0.034007 seconds
10000000;2;Time: 0.334026 seconds
100000000;2;Time: 3.343918 seconds
1000000000;2;Time: 16.780996 seconds
10000000000;2;Time: 23.688657 seconds
100000;4;Time: 0.001125 seconds
1000000;4;Time: 0.008741 seconds
10000000;4;Time: 0.168602 seconds
100000000;4;Time: 1.676064 seconds
1000000000;4;Time: 16.691882 seconds
10000000000;4;Time: 11.816919 seconds
100000;8;Time: 0.005341 seconds
1000000;8;Time: 0.009523 seconds
10000000;8;Time: 0.087805 seconds
100000000;8;Time: 0.421840 seconds
1000000000;8;Time: 8.437364 seconds
10000000000;8;Time: 11.863914 seconds
100000;16;Time: 0.004579 seconds
1000000;16;Time: 0.019774 seconds
10000000;16;Time: 0.087874 seconds
100000000;16;Time: 0.423947 seconds
1000000000;16;Time: 7.875706 seconds
10000000000;16;Time: 10.808243 seconds
100000;32;Time: 0.055371 seconds
1000000;32;Time: 0.059609 seconds
10000000;32;Time: 0.075009 seconds
100000000;32;Time: 0.795140 seconds
1000000000;32;Time: 7.792209 seconds
10000000000;32;Time: 10.440182 seconds
100000;2;Time: 0.001792 seconds
1000000;2;Time: 0.017084 seconds
10000000;2;Time: 0.168076 seconds
100000000;2;Time: 3.342919 seconds
1000000000;2;Time: 16.771126 seconds
10000000000;2;Time: 23.650718 seconds
100000;4;Time: 0.000942 seconds
1000000;4;Time: 0.017655 seconds
10000000;4;Time: 0.084395 seconds
100000000;4;Time: 0.846173 seconds
1000000000;4;Time: 8.467694 seconds
10000000000;4;Time: 23.643811 seconds
100000;8;Time: 0.010667 seconds
1000000;8;Time: 0.010673 seconds
10000000;8;Time: 0.085977 seconds
100000000;8;Time: 0.844005 seconds
1000000000;8;Time: 4.184179 seconds
10000000000;8;Time: 5.976428 seconds
100000;16;Time: 0.020104 seconds
1000000;16;Time: 0.027504 seconds
10000000;16;Time: 0.106694 seconds
100000000;16;Time: 0.442083 seconds
1000000000;16;Time: 8.039042 seconds
10000000000;16;Time: 10.915982 seconds
100000;32;Time: 0.000250 seconds
1000000;32;Time: 0.042081 seconds
10000000;32;Time: 0.085320 seconds
100000000;32;Time: 0.807825 seconds
1000000000;32;Time: 7.912530 seconds
10000000000;32;Time: 10.915105 seconds
100000;2;Time: 0.001903 seconds
1000000;2;Time: 0.017103 seconds
10000000;2;Time: 0.168213 seconds
100000000;2;Time: 3.351514 seconds
1000000000;2;Time: 33.435174 seconds
10000000000;2;Time: 23.686169 seconds
100000;4;Time: 0.001346 seconds
1000000;4;Time: 0.017705 seconds
10000000;4;Time: 0.084135 seconds
100000000;4;Time: 0.840237 seconds
1000000000;4;Time: 8.413907 seconds
10000000000;4;Time: 23.547020 seconds
100000;8;Time: 0.004118 seconds
1000000;8;Time: 0.008431 seconds
10000000;8;Time: 0.043161 seconds
100000000;8;Time: 0.435839 seconds
1000000000;8;Time: 8.442032 seconds
10000000000;8;Time: 11.843248 seconds
100000;16;Time: 0.003324 seconds
1000000;16;Time: 0.028770 seconds
10000000;16;Time: 0.083638 seconds
100000000;16;Time: 0.419107 seconds
1000000000;16;Time: 7.688422 seconds
10000000000;16;Time: 11.183362 seconds
100000;32;Time: 0.030816 seconds
1000000;32;Time: 0.048118 seconds
10000000;32;Time: 0.146493 seconds
100000000;32;Time: 0.791953 seconds
1000000000;32;Time: 7.830298 seconds
10000000000;32;Time: 5.780125 seconds
100000;2;Time: 0.001805 seconds
1000000;2;Time: 0.033955 seconds
10000000;2;Time: 0.335441 seconds
100000000;2;Time: 1.669103 seconds
1000000000;2;Time: 33.429249 seconds
10000000000;2;Time: 47.113479 seconds
100000;4;Time: 0.001282 seconds
1000000;4;Time: 0.018222 seconds
10000000;4;Time: 0.168374 seconds
100000000;4;Time: 1.669954 seconds
1000000000;4;Time: 8.375040 seconds
10000000000;4;Time: 11.853071 seconds
100000;8;Time: 0.010386 seconds
1000000;8;Time: 0.004108 seconds
10000000;8;Time: 0.086287 seconds
100000000;8;Time: 0.835927 seconds
1000000000;8;Time: 4.199090 seconds
10000000000;8;Time: 11.825348 seconds
100000;16;Time: 0.014381 seconds
1000000;16;Time: 0.011823 seconds
10000000;16;Time: 0.109432 seconds
100000000;16;Time: 0.799778 seconds
1000000000;16;Time: 7.934237 seconds
10000000000;16;Time: 6.064001 seconds
100000;32;Time: 0.043853 seconds
1000000;32;Time: 0.045460 seconds
10000000;32;Time: 0.092518 seconds
100000000;32;Time: 0.795304 seconds
1000000000;32;Time: 7.621159 seconds
10000000000;32;Time: 11.127709 seconds
100000;2;Time: 0.001785 seconds
1000000;2;Time: 0.017009 seconds
10000000;2;Time: 0.167449 seconds
100000000;2;Time: 1.678160 seconds
1000000000;2;Time: 16.785430 seconds
10000000000;2;Time: 47.105455 seconds
100000;4;Time: 0.002191 seconds
1000000;4;Time: 0.008965 seconds
10000000;4;Time: 0.085244 seconds
100000000;4;Time: 1.678601 seconds
1000000000;4;Time: 16.723387 seconds
10000000000;4;Time: 11.820911 seconds
100000;8;Time: 0.001155 seconds
1000000;8;Time: 0.005623 seconds
10000000;8;Time: 0.044437 seconds
100000000;8;Time: 0.832366 seconds
1000000000;8;Time: 8.383308 seconds
10000000000;8;Time: 11.866161 seconds
100000;16;Time: 0.019742 seconds
1000000;16;Time: 0.016100 seconds
10000000;16;Time: 0.104516 seconds
100000000;16;Time: 0.868176 seconds
1000000000;16;Time: 4.299573 seconds
10000000000;16;Time: 10.457066 seconds
100000;32;Time: 0.042818 seconds
1000000;32;Time: 0.011478 seconds
10000000;32;Time: 0.096022 seconds
100000000;32;Time: 0.807798 seconds
1000000000;32;Time: 7.823688 seconds
10000000000;32;Time: 11.107903 seconds
100000;2;Time: 0.003733 seconds
1000000;2;Time: 0.016817 seconds
10000000;2;Time: 0.167352 seconds
100000000;2;Time: 1.669393 seconds
1000000000;2;Time: 16.803254 seconds
10000000000;2;Time: 47.154907 seconds
100000;4;Time: 0.002312 seconds
1000000;4;Time: 0.008959 seconds
10000000;4;Time: 0.087898 seconds
100000000;4;Time: 1.679138 seconds
1000000000;4;Time: 8.383506 seconds
10000000000;4;Time: 11.821207 seconds
100000;8;Time: 0.007212 seconds
1000000;8;Time: 0.006046 seconds
10000000;8;Time: 0.085124 seconds
100000000;8;Time: 0.855737 seconds
1000000000;8;Time: 8.400216 seconds
10000000000;8;Time: 11.912555 seconds
100000;16;Time: 0.020732 seconds
1000000;16;Time: 0.033248 seconds
10000000;16;Time: 0.067597 seconds
100000000;16;Time: 0.839923 seconds
1000000000;16;Time: 7.743102 seconds
10000000000;16;Time: 11.124259 seconds
100000;32;Time: 0.048033 seconds
1000000;32;Time: 0.051929 seconds
10000000;32;Time: 0.099946 seconds
100000000;32;Time: 0.743563 seconds
1000000000;32;Time: 4.124226 seconds
10000000000;32;Time: 12.020092 seconds
100000;2;Time: 0.003736 seconds
1000000;2;Time: 0.017089 seconds
10000000;2;Time: 0.335118 seconds
100000000;2;Time: 1.688204 seconds
1000000000;2;Time: 33.504216 seconds
10000000000;2;Time: 23.624984 seconds
100000;4;Time: 0.002408 seconds
1000000;4;Time: 0.017671 seconds
10000000;4;Time: 0.083963 seconds
100000000;4;Time: 0.846704 seconds
1000000000;4;Time: 16.734777 seconds
10000000000;4;Time: 23.609403 seconds
