Number;Time
100000; 0.028736
1000000; 0.046584
10000000; 0.438483
100000000; 4.413834
1000000000; 43.836636
10000000000; 61.902879
100000; 0.004460
1000000; 0.046402
10000000; 0.439022
100000000; 4.407156
1000000000; 43.843710
10000000000; 61.997727
100000; 0.004478
1000000; 0.044415
10000000; 0.442831
100000000; 4.409551
1000000000; 43.993177
10000000000; 62.040413
100000; 0.005210
1000000; 0.046013
10000000; 0.444078
100000000; 4.406160
1000000000; 43.871619
10000000000; 61.939923
100000; 0.004421
1000000; 0.045685
10000000; 0.442820
100000000; 4.396777
1000000000; 43.844400
10000000000; 62.369900
100000; 0.004410
1000000; 0.045042
10000000; 0.448195
100000000; 4.438327
1000000000; 43.833587
10000000000; 61.812055
100000; 0.004456
1000000; 0.045269
10000000; 0.440863
100000000; 4.405983
1000000000; 44.248180
10000000000; 62.343163
100000; 0.004524
1000000; 0.044281
10000000; 0.444773
100000000; 4.396259
1000000000; 43.834700
10000000000; 62.028183
100000; 0.004414
1000000; 0.044249
10000000; 0.443189
100000000; 4.396603
1000000000; 43.969621
10000000000; 61.991916
100000; 0.004414
1000000; 0.044301
10000000; 0.444809
100000000; 4.398944
1000000000; 43.983820
10000000000; 61.913625

